Key,Translation
language:fr,Français
language:en,English
language:de,Deutsch
language:es,Español
language:it,Italiano
language:hi,हिन्दी
language:fa,فارسی
loading,##
are_you_sure,##
clear,##
name,##
update,##
add,##
save,##
configure,##
language:language,##
configuration:authentication:credentials,##
configuration:authentication:error_user,##
configuration:authentication:error_pass,##
configuration:tab:settings,##
configuration:tab:connectors,##
configuration:tab:authentication,##
configuration:tab:drivers,##
configuration:tab:errors,##
configuration:tab:telemetry,##
configuration:tab:admin,##
configuration:tab:about,##
configuration:admin:sign_out,##
configuration:admin:reload,##
configuration:admin:reboot,##
configuration:admin:poweroff,##
configuration:about:version,##
configuration:about:website,##
configuration:about:status,##
configuration:about:current_time,##
configuration:about:uptime,##
signin:username,##
signin:password,##
signin:signin,##
signin:invalidcredentials,##
capabilities:dashboard,##
capabilities:equipment,##
capabilities:timers,##
capabilities:lights,##
capabilities:lighting,##
capabilities:temperature,##
capabilities:ato,##
capabilities:ph,##
capabilities:dosing_pumps,##
capabilities:doser,##
capabilities:macros,##
capabilities:macro,##
capabilities:camera,##
capabilities:configuration,##
capabilities:log,##
capabilities:dev_mode,##
capabilities:health_check,##
log:time,##
log:emitter,##
log:type,##
log:content,##
dashboard:back_to_dashboard,##
configuration:settings:interface,##
configuration:settings:name,##
configuration:settings:address,##
configuration:settings:rpi_pwm_freq,##
configuration:settings:notification,##
configuration:settings:display,##
configuration:settings:use_https,##
configuration:settings:enable_profiling,##
configuration:settings:capabilities,##
configuration:settings:alert_health_check,##
configuration:settings:max_memory,##
configuration:settings:max_cpu,##
configuration:settings:name_required,##
configuration:settings:network_interface_required,##
configuration:settings:network_address_required,##
configuration:settings:capabilities_required,##
